seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
101,-2836,-2836,-2896
102,-2892,-2724,-3294
103,-3146,-3120,-3184
104,-2632,-2632,-2940
105,-2934,-2934,-2452
106,-2680,-3024,-2896
107,-3032,-3032,-2452
108,-3146,-3114,-3294
109,-2914,-2916,-2940
110,-3022,-3022,-2452
111,-2948,-2948,-2848
112,-3092,-3092,-3000
113,-3046,-3046,-2896
114,-2904,-2828,-3184
115,-2816,-2614,-3184
116,-3078,-3078,-3184
117,-2674,-2674,-2996
118,-2822,-2632,-2940
119,-3002,-3146,-3294
120,-3064,-3064,-3184
121,-3132,-3132,-2940
122,-2554,-2474,-2896
123,-3202,-3076,-2452
124,-2720,-2720,-3286
125,-3012,-3012,-2452
126,-2354,-2354,-3286
127,-2802,-2724,-3294
128,-3016,-3016,-2940
129,-2910,-2910,-3026
130,-2824,-2824,-3064
131,-2860,-2860,-3184
132,-3062,-3062,-3286
133,-3008,-3008,-3294
134,-2152,-2142,-3184
135,-2682,-2682,-3286
136,-3162,-3292,-3052
137,-2714,-2714,-3286
138,-2690,-2690,-2452
139,-3114,-3114,-2940
140,-2778,-2778,-2452
141,-3202,-3202,-3294
142,-2936,-3072,-2940
143,-2940,-2940,-2940
144,-2996,-2996,-2896
145,-3044,-3090,-2940
146,-3294,-3294,-2880
147,-3000,-2982,-2896
148,-3090,-3090,-2996
149,-3068,-2750,-3000
150,-2782,-2732,-3294
151,-3058,-3058,-3078
152,-3002,-2966,-3286
153,-2842,-2842,-3184
154,-2658,-2658,-2940
155,-3022,-3022,-3286
156,-2952,-2952,-3052
157,-2912,-3136,-2452
158,-3184,-3184,-3046
159,-3032,-3096,-2940
160,-3092,-3092,-3012
161,-3044,-3044,-2940
162,-3092,-2608,-2940
163,-3048,-3048,-2940
164,-3022,-3022,-3046
