seed,gradient_descent_only_H,sis_elp_H,pi_elp_H
391,-2662,-2680,-2896
392,-2784,-2728,-3184
393,-2988,-2988,-2452
394,-2388,-3292,-3294
395,-2524,-2524,-3294
396,-3286,-3286,-2996
397,-2874,-2874,-2940
398,-2892,-2892,-3184
399,-3102,-2952,-2452
400,-3184,-3184,-2738
401,-3146,-3146,-2880
402,-3046,-3046,-3008
403,-3292,-3294,-2940
404,-3032,-3002,-3294
405,-3184,-3184,-3286
406,-3052,-3052,-3100
407,-3016,-3016,-3286
408,-2990,-2990,-2896
409,-3102,-3102,-2996
410,-2650,-2742,-3286
411,-2830,-2832,-3076
412,-3068,-3114,-2694
413,-2500,-2500,-2452
414,-2782,-2782,-3292
415,-2998,-2908,-2452
416,-2976,-2976,-2940
417,-2914,-3088,-2940
418,-3000,-3000,-3286
419,-3120,-3120,-3286
420,-3120,-3120,-3286
421,-2618,-2618,-2452
422,-2622,-2836,-2452
423,-3008,-3012,-2726
424,-2910,-2910,-2738
425,-2764,-2764,-2996
426,-2964,-2964,-2940
427,-3012,-3012,-3294
428,-3038,-2924,-2452
429,-3058,-3058,-3000
430,-2912,-2912,-2996
431,-3184,-3184,-2940
432,-2472,-2472,-3294
433,-3184,-2938,-2940
434,-3202,-3202,-2940
435,-3142,-2920,-2940
436,-2934,-3104,-3294
437,-2654,-2654,-3294
438,-3126,-3146,-3000
439,-3076,-3162,-3064
440,-2528,-2594,-3184
441,-2716,-2716,-2940
442,-3088,-3088,-3052
443,-3080,-3080,-3184
444,-3078,-2948,-2452
445,-2802,-2976,-3008
446,-2926,-2878,-3294
447,-2908,-2672,-2452
448,-3062,-3062,-3184
449,-3114,-3098,-3294
450,-3052,-3052,-3294
451,-3104,-3116,-3286
452,-3102,-3052,-3184
453,-2532,-2820,-3032
454,-2842,-2842,-2940
455,-3020,-2996,-2896
456,-3012,-2960,-3000
457,-2888,-2888,-3184
458,-2898,-2898,-3286
459,-3090,-2972,-3294
460,-3020,-3020,-3294
461,-3294,-3294,-3294
462,-3132,-2892,-3184
463,-3104,-3104,-3286
464,-3064,-3064,-3026
465,-3096,-3076,-2996
466,-3294,-3294,-3294
467,-2942,-3012,-2940
