D_over_RC,pert,valid_solution_rate,Total_constraint_violations_0_rate,Total_constraint_violations_1_rate,Total_constraint_violations_2_rate,Total_constraint_violations_3_rate,Total_constraint_violations_4_rate,Total_constraint_violations_5_rate,Total_constraint_violations_6_rate,Total_constraint_violations_7_rate,Total_constraint_violations_8_rate,Total_constraint_violations_9_rate,Total_constraint_violations_10_rate,Total_constraint_violations_11_rate,Total_constraint_violations_13_rate,row_constraint_violations_0_rate,row_constraint_violations_1_rate,row_constraint_violations_2_rate,row_constraint_violations_3_rate,row_constraint_violations_4_rate,row_constraint_violations_5_rate,col_constraint_violations_0_rate,col_constraint_violations_1_rate,col_constraint_violations_2_rate,col_constraint_violations_3_rate,col_constraint_violations_4_rate,col_constraint_violations_5_rate,diag_constraint_violations_0_rate,diag_constraint_violations_1_rate,diag_constraint_violations_2_rate,diag_constraint_violations_3_rate,diag_constraint_violations_4_rate,diag_constraint_violations_5_rate,diag_constraint_violations_6_rate,num_samples
1.4,True,0.373,0.373,0.029,0.154,0.205,0.117,0.101,0.015,0.004,0.001,0.0,0.0,0.0,0.001,0.521,0.342,0.093,0.034,0.01,0.0,0.513,0.36,0.109,0.016,0.002,0.0,0.522,0.27,0.137,0.069,0.001,0.001,0.0,1000
1.4,False,0.188,0.188,0.107,0.223,0.314,0.104,0.05,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.343,0.178,0.044,0.017,0.0,0.57,0.384,0.042,0.003,0.001,0.0,0.352,0.451,0.177,0.02,0.0,0.0,0.0,1000
